index,Player,NBA_DraftNumber,Salary,Signed Using,Guaranteed,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%
487,Domantas Sabonis,11,"$2,550,000",1st Round pick,"$5,209,800",21,IND,70,1711,17.3,0.57,0.054,0.346,10.5,25.3,18,12.6,1,1.5
488,Dirk Nowitzki,9,"$5,000,000",Cap space,"$5,000,000",39,DAL,77,1900,16.7,0.575,0.445,0.142,1.3,25.1,12.8,10.4,1.1,2.1
489,Dion Waiters,4,"$11,000,000",Cap space,"$47,300,000",26,MIA,30,918,10.5,0.487,0.415,0.168,1,8.5,4.7,19.8,1.3,0.8
490,Dillon Brooks,45,"$815,615",MLE,"$2,193,857",22,MEM,78,2220,9.1,0.526,0.343,0.187,2.3,10.1,6.1,8.4,1.5,0.7
491,Deyonta Davis,31,"$1,312,611",Cap Space,"$2,857,562",21,MEM,58,841,16.7,0.624,0,0.23,9,21.7,15.2,7.3,0.8,3.9
492,Dewayne Dedmon,62,"$6,000,000",Cap space,"$6,000,000",28,ATL,59,1458,15.7,0.599,0.301,0.166,7.4,28.1,17.8,9.2,1.3,2.7
493,Devin Harris,5,"$4,402,546",Cap Space,"$4,402,546",34,DAL,44,807,13.5,0.56,0.44,0.394,1.2,10.8,5.9,16.4,2.1,0.9
494,Devin Harris,5,"$4,402,546",Cap Space,"$4,402,546",34,TOT,67,1272,12.8,0.561,0.493,0.384,1,9.8,5.3,16.7,1.8,0.8
495,Devin Harris,5,"$4,402,546",Cap Space,"$4,402,546",34,DEN,23,465,11.6,0.563,0.6,0.364,0.7,8,4.4,17.3,1.5,0.7
496,Devin Booker,13,"$2,319,360",1st round pick,"$5,633,725",21,PHO,54,1865,18.1,0.561,0.364,0.312,1.5,12.7,7,24.5,1.2,0.6
497,Derrick Williams,2,"$104,059",,$0,26,LAL,2,9,-3.2,0.25,0.5,0,0,11.8,5.9,0,0,0
498,Derrick White,29,"$1,404,600",1st Round Pick,"$3,071,760",23,SAS,17,139,15.9,0.646,0.394,0.606,4,16.9,10.4,9.3,1.5,1.8
499,Derrick Walton,62,$0,,$0,22,MIA,16,147,11.3,0.525,0.68,0.24,1.5,10.7,6.1,14.6,2.4,1.7
500,Derrick Rose,1,"$2,116,955",,"$2,116,955",29,MIN,5,58,16,0.481,0.091,0.091,5.9,2,4,23.3,1.7,0
501,Derrick Rose,1,"$2,116,955",,"$2,116,955",29,CLE,16,308,11.6,0.523,0.182,0.311,3.7,6.8,5.3,13,0.5,1.1
502,Derrick Rose,1,"$2,116,955",,"$2,116,955",29,TOT,21,366,12.3,0.515,0.164,0.267,4,6,5.1,14.6,0.7,0.9
503,Derrick Jones,62,"$1,312,611",,$0,20,MIA,13,212,9,0.465,0.333,0.375,10.1,8,9,4,0.7,3.6
504,Derrick Jones,62,"$1,312,611",,$0,20,TOT,19,245,10.3,0.488,0.346,0.462,9.6,7.8,8.7,5.1,0.8,4.4
505,Derrick Jones,62,"$1,312,611",,$0,20,PHO,6,33,18.4,0.678,0.5,1.5,6.4,6.6,6.5,12.3,1.5,9.8
506,Derrick Favors,3,"$12,000,000",1st Round Pick,"$12,000,000",26,UTA,73,2044,18.8,0.594,0.084,0.319,10.6,18.4,14.5,8,1.3,3.2
507,Denzel Valentine,14,"$2,186,400",1st Round pick,"$4,467,000",24,CHI,77,2095,12.1,0.527,0.513,0.071,2.4,18.3,10,17.8,1.5,0.5
508,Dennis Smith,9,"$3,218,280",1st Round Pick,"$7,038,240",20,DAL,67,1978,12.8,0.475,0.333,0.189,2.6,11.8,7.1,29,1.7,0.7
509,Dennis Schroder,17,"$15,500,000",1st Round Pick,"$62,000,000",24,ATL,67,2078,17.3,0.515,0.229,0.231,2.4,8.8,5.6,36.4,1.7,0.2
510,Demetrius Jackson,45,"$92,858",,"$650,000",23,PHI,3,17,24.6,0.82,0.25,0.5,6.6,0,3.2,35.5,2.8,0
511,Demetrius Jackson,45,"$92,858",,"$650,000",23,TOT,15,80,5.4,0.424,0.389,0.111,7.1,9.8,8.4,15.9,3.1,1.1
512,Demetrius Jackson,45,"$92,858",,"$650,000",23,HOU,12,63,0.2,0.286,0.429,0,7.2,12.5,9.9,10.7,3.1,1.3
513,DeMarre Carroll,27,"$14,800,000",Cap Space,"$30,200,000",31,BRK,73,2180,14.3,0.55,0.498,0.313,5,18.4,11.7,10.6,1.3,1
514,DeMarcus Cousins,5,"$18,063,850",1st Round Pick,"$18,063,850",27,NOP,48,1737,22.7,0.583,0.34,0.456,6.8,31,19.3,23.2,2.2,3.5
515,DeMar DeRozan,9,"$27,739,975",Cap Space,"$83,219,925",28,TOR,77,2616,21.3,0.558,0.202,0.399,2.4,10.4,6.5,24.8,1.6,0.6
516,Delon Wright,20,"$1,645,200",1st Round pick,"$4,182,098",25,TOR,65,1339,16.8,0.577,0.342,0.261,3.8,11.5,7.7,19.8,2.5,2
517,Dejounte Murray,29,"$1,312,611",1st Round pick,"$2,857,562",21,SAS,78,1669,14.9,0.484,0.057,0.228,7,22.6,14.7,20.5,2.8,1.4
518,DeAndre Liggins,53,"$1,577,230",,$0,29,TOT,55,711,6.2,0.485,0.52,0.049,1.2,10.8,6.1,8.1,2.6,1.7
519,DeAndre Liggins,53,"$1,577,230",,$0,29,MIL,31,480,5,0.424,0.554,0.077,1.2,10.8,6,7.3,2.8,1.8
520,DeAndre Liggins,53,"$1,577,230",,$0,29,NOP,24,231,8.7,0.595,0.459,0,1,10.9,6.1,9.8,2.1,1.4
521,DeAndre Jordan,35,"$22,642,350",Bird Rights,"$22,642,350",29,LAC,73,2321,20.2,0.651,0,0.541,15,37.6,26.5,7.1,0.8,2.5
522,DeAndre' Bembry,21,"$1,567,200",1st Round pick,"$3,201,840",23,ATL,23,395,6.2,0.467,0.239,0.248,2.3,15.8,9.1,14.1,1.9,2.2
523,De'Aaron Fox,5,"$4,609,200",1st Round Pick,"$10,017,120",20,SAC,70,1928,11.2,0.477,0.188,0.242,1.6,9.7,5.5,24.5,1.8,1
524,Davon Reed,32,"$815,615",Minimum Salary,"$1,504,736",22,PHO,18,195,5.2,0.386,0.492,0.169,1.1,16.8,8.8,6.5,2.5,0.8
525,Davis Bertans,42,"$1,312,611",Minimum Salary,"$1,312,611",25,SAS,74,1067,14.2,0.587,0.691,0.136,1.9,13.9,7.8,10.4,1.2,2.2
526,David West,18,"$2,328,652",Minimum Salary,"$2,328,652",37,GSW,69,947,21.4,0.609,0.022,0.209,7.7,18.5,13.5,20.4,2.3,6
527,David Stockton,62,"$148,318",,$0,26,UTA,2,6,31.4,0.931,1,2,0,0,0,0,0,0
528,David Nwaba,62,"$1,312,611",Minimum Salary,"$1,312,611",25,CHI,66,1529,12.8,0.561,0.121,0.532,5.4,16.2,10.6,9.4,1.8,1.7
529,Darrun Hilliard,38,$0,,$0,24,SAS,14,95,3.4,0.362,0.316,0.368,0,8.2,4.1,15.3,1.1,0
530,Darren Collison,21,"$10,000,000",Cap space,"$12,000,000",30,IND,65,1929,18.9,0.613,0.327,0.235,2.1,7.6,4.9,26.3,2.3,0.7
531,Darrell Arthur,27,"$7,464,912",Cap Space,"$7,464,912",29,DEN,19,141,8.4,0.559,0.489,0.064,2.4,9.6,6,9.3,2.8,1.8
532,Darius Miller,46,"$2,100,000",MLE,"$2,100,000",27,NOP,78,1847,9.4,0.619,0.746,0.131,1,7.9,4.6,7.7,0.6,0.7
533,Dario Saric,12,"$2,422,560",1st Round pick,"$4,949,400",23,PHI,74,2229,16.1,0.587,0.447,0.239,7.5,16.7,12.3,13,1.1,0.7
534,Danuel House,62,$0,,$0,24,PHO,20,283,12.8,0.542,0.467,0.267,4.1,17.7,10.8,8.5,1,1.1
535,Dante Exum,5,"$4,992,385",1st Round Pick,"$4,992,385",22,UTA,10,148,21.9,0.63,0.203,0.356,1.6,11.4,6.5,32.9,2,0.6
536,Dante Cunningham,33,"$2,300,000",MLE,"$2,300,000",30,TOT,70,1499,9.7,0.542,0.474,0.149,5.1,14.5,9.9,4.1,1.2,1.4
537,Dante Cunningham,33,"$2,300,000",MLE,"$2,300,000",30,NOP,51,1115,8.5,0.525,0.48,0.16,5,13.5,9.4,3,1.2,1.1
538,Dante Cunningham,33,"$2,300,000",MLE,"$2,300,000",30,BRK,19,384,13.2,0.574,0.462,0.128,5.5,17.4,11.3,7.3,1.4,1.9
539,Danny Green,46,"$10,000,000",Bird Rights,"$10,000,000",30,SAS,67,1742,11.5,0.51,0.572,0.114,2.6,12.9,7.7,9,1.7,3.8
540,Danilo Gallinari,6,"$20,559,599",Sign and Trade,"$64,762,737",29,LAC,21,671,13.9,0.545,0.434,0.34,1.5,14.8,8.3,8.9,0.9,1.2
541,Daniel Theis,62,"$815,615",Minimum Salary,"$815,615",25,BOS,63,936,16.2,0.616,0.249,0.348,10.7,21.2,16.1,9.1,1.6,4.3
542,Daniel Hamilton,56,$0,,$0,22,OKC,5,26,19.6,0.545,0.455,0,0,22.1,10.7,42.6,1.9,0
543,D'Angelo Russell,2,"$5,562,360",1st round pick,"$12,582,058",21,BRK,44,1124,15.5,0.506,0.398,0.209,2.7,14.2,8.4,35.6,1.4,1.1
544,Damyean Dotson,44,"$1,100,000",Minimum Salary,"$2,478,242",23,NYK,40,356,8.9,0.489,0.409,0.13,2.2,15.2,8.7,9.2,1,0.2
545,Damion Lee,62,"$92,160",,$0,25,ATL,12,321,12.9,0.496,0.387,0.21,3.1,15.7,9.4,11.7,2.6,0.3
546,Damien Wilkins,62,"$2,116,955",,"$25,000",38,IND,19,152,4.9,0.405,0.462,0.103,3.8,8.1,6,7.8,0.7,0.6
547,Damian Lillard,6,"$26,153,057",1st Round Pick,"$115,560,020",27,POR,70,2558,25.1,0.594,0.444,0.383,2.6,10.9,6.8,30.9,1.5,0.9
548,Damian Jones,30,"$1,312,611",1st Round pick,"$2,857,562",22,GSW,11,54,10.7,0.765,0,0.4,9,11.6,10.4,0,0,2.9
549,Dakari Johnson,48,"$815,615",,"$2,193,857",22,OKC,29,159,16.6,0.575,0,0.513,10.8,13,11.8,7.3,1.9,4.6
550,D.J. Wilson,17,"$2,135,040",1st Round Pick,"$4,669,320",21,MIL,21,69,9.1,0.638,0.357,0.143,1.7,13.6,7.7,6.2,1.4,1.2
551,D.J. Augustin,9,"$7,250,000",Cap Space,"$21,750,000",30,ORL,71,1679,15.4,0.613,0.512,0.359,1.9,8.3,5.1,24.1,1.5,0
552,Cristiano Felicio,62,"$7,843,500",Cap space,"$32,000,000",25,CHI,51,856,12.3,0.619,0.005,0.346,8.8,16.7,12.6,8.6,0.6,1.1
