SKUPNO število testiranj,SKUPNO dnevno število testiranj,Dnevno število PCR testiranj,SKUPNO število pozitivnih oseb,SKUPNO DNEVNO število pozitivnih oseb,Skupno število hospitaliziranih oseb na posamezni dan,Skupno število oseb na intenzivni negi na posamezni dan,Dnevno število odpuščenih oseb iz bolnišnic,Skupno število umrlih
167491.0,706.0,706.0,3190.0,25.0,26.0,4.0,2.0,135.0
169072.0,1581.0,1581.0,3232.0,42.0,28.0,4.0,3.0,135.0
171632.0,2560.0,2560.0,3312.0,79.0,33.0,4.0,3.0,135.0
174121.0,2489.0,2489.0,3388.0,77.0,26.0,5.0,2.0,135.0
176879.0,2758.0,2758.0,3498.0,108.0,27.0,5.0,0.0,135.0
180070.0,3191.0,3191.0,3603.0,105.0,26.0,5.0,0.0,135.0
181863.0,1793.0,1793.0,3702.0,99.0,31.0,6.0,5.0,135.0
182973.0,1110.0,1110.0,3749.0,47.0,40.0,9.0,6.0,135.0
185220.0,2247.0,2247.0,3831.0,82.0,50.0,10.0,1.0,135.0
188343.0,3123.0,3123.0,3954.0,123.0,61.0,11.0,1.0,135.0
191413.0,3070.0,3070.0,4058.0,104.0,62.0,11.0,1.0,136.0
194970.0,3557.0,3557.0,4195.0,137.0,67.0,11.0,3.0,140.0
198040.0,3070.0,3070.0,4309.0,114.0,67.0,10.0,4.0,141.0
200328.0,2288.0,2288.0,4420.0,111.0,66.0,13.0,5.0,142.0
201312.0,984.0,984.0,4470.0,50.0,70.0,14.0,1.0,142.0
203647.0,2335.0,2335.0,4558.0,88.0,71.0,13.0,8.0,142.0
206263.0,2616.0,2616.0,4694.0,136.0,65.0,10.0,10.0,143.0
209111.0,2848.0,2848.0,4816.0,122.0,63.0,13.0,9.0,145.0
212756.0,3645.0,3645.0,5007.0,192.0,60.0,15.0,11.0,145.0
215531.0,2775.0,2775.0,5191.0,184.0,72.0,17.0,2.0,146.0
217448.0,1917.0,1917.0,5360.0,159.0,80.0,18.0,15.0,147.0
218357.0,909.0,909.0,5388.0,39.0,79.0,16.0,9.0,149.0
220739.0,2382.0,2382.0,5487.0,99.0,84.0,16.0,19.0,149.0
224130.0,3391.0,3391.0,5690.0,203.0,86.0,16.0,8.0,150.0
227029.0,2899.0,2899.0,5865.0,175.0,86.0,15.0,15.0,152.0
230310.0,3281.0,3281.0,6103.0,238.0,86.0,15.0,8.0,154.0
233203.0,2893.0,2893.0,6330.0,227.0,94.0,15.0,7.0,155.0
235143.0,1940.0,1940.0,6498.0,168.0,101.0,16.0,1.0,155.0
236177.0,1034.0,1034.0,6574.0,75.0,107.0,21.0,8.0,157.0
238686.0,2509.0,2509.0,6764.0,189.0,111.0,20.0,10.0,160.0
242687.0,3998.0,3998.0,7120.0,356.0,122.0,22.0,11.0,160.0
246339.0,3655.0,3655.0,7507.0,387.0,131.0,21.0,15.0,161.0
250021.0,3682.0,3682.0,7872.0,363.0,138.0,22.0,9.0,165.0
254383.0,4362.0,4362.0,8252.0,380.0,147.0,21.0,6.0,167.0
257339.0,2956.0,2956.0,8663.0,411.0,158.0,27.0,8.0,167.0
258743.0,1404.0,1404.0,8832.0,169.0,172.0,26.0,4.0,169.0
